Month;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999
87;105,077;109,318;111,792;113,102;115,119;116,48;118,489;122,234;125,978;127,988;129,349;131,366;132,676;135,149;139,39
88;105,467;109,73;112,216;113,532;115,559;116,927;118,946;122,71;126,473;128,493;129,86;131,887;133,204;135,69;139,952
89;105,862;110,145;112,643;113,965;116,002;117,376;119,405;123,187;126,968;128,997;130,371;132,408;133,731;136,229;140,511
90;106,254;110,558;113,068;114,397;116,444;117,825;119,864;123,665;127,465;129,504;130,885;132,932;134,261;136,772;141,075
91;106,646;110,971;113,494;114,83;116,887;118,275;120,324;124,144;127,963;130,012;131,4;133,457;134,793;137,316;141,641
92;107,043;111,389;113,923;115,266;117,333;118,727;120,786;124,623;128,461;130,52;131,914;133,981;135,323;137,858;142,204
93;107,441;111,807;114,354;115,702;117,779;119,18;121,249;125,104;128,96;131,029;132,43;134,507;135,855;138,402;142,768
94;107,839;112,226;114,785;116,14;118,227;119,635;121,713;125,587;129,461;131,539;132,947;135,033;136,388;138,947;143,334
95;108,239;112,647;115,218;116,579;118,676;120,09;122,179;126,071;129,963;132,051;133,465;135,562;136,923;139,494;143,902
96;108,64;113,069;115,652;117,02;119,126;120,547;122,645;126,556;130,466;132,565;133,986;136,092;137,46;140,043;144,471
97;109,042;113,492;116,087;117,461;119,577;121,005;123,114;127,042;130,971;133,08;134,507;136,623;137,998;140,593;145,043
98;109,449;113,919;116,526;117,906;120,032;121,466;123,584;127,53;131,477;133,595;135,029;137,155;138,535;141,142;145,612
99;109,857;114,347;116,966;118,352;120,488;121,928;124,056;128,02;131,984;134,111;135,552;137,687;139,074;141,693;146,182
100;110,267;114,777;117,407;118,8;120,945;122,392;124,529;128,511;132,493;134,63;136,077;138,222;139,615;142,245;146,755
101;110,678;115,208;117,85;119,249;121,404;122,857;125,004;129,004;133,003;135,15;136,603;138,758;140,157;142,799;147,329
102;111,089;115,64;118,294;119,699;121,863;123,324;125,48;129,498;133,515;135,671;137,132;139,296;140,701;143,355;147,906
103;111,507;116,076;118,742;120,153;122,327;123,793;125,958;129,993;134,028;136,193;137,66;139,833;141,245;143,91;148,48
104;111,925;116,514;119,191;120,608;122,791;124,264;126,438;130,49;134,543;136,717;138,19;140,372;141,79;144,467;149,056
105;112,341;116,95;119,639;121,063;123,255;124,735;126,919;130,989;135,059;137,244;138,723;140,915;142,339;145,028;149,638
106;112,766;117,394;120,094;121,523;123,725;125,21;127,403;131,49;135,576;137,769;139,254;141,456;142,885;145,585;150,213
107;113,188;117,836;120,547;121,983;124,193;125,685;127,887;131,991;136,095;138,298;139,789;142;143,435;146,147;150,795
108;113,611;118,279;121,002;122,443;124,663;126,161;128,373;132,494;136,616;138,828;140,326;142,546;143,987;146,71;151,378
109;114,04;118,726;121,46;122,907;125,136;126,64;128,861;132,999;137,137;139,358;140,862;143,09;144,538;147,272;151,958
110;114,469;119,175;121,919;123,372;125,61;127,12;129,35;133,505;137,659;139,889;141,399;143,637;145,09;147,835;152,54
111;114,9;119,624;122,38;123,839;126,086;127,602;129,84;134,012;138,183;140,422;141,938;144,185;145,644;148,399;153,124
112;115,332;120,075;122,842;124,307;126,562;128,085;130,332;134,52;138,708;140,956;142,478;144,734;146,199;148,966;153,709
113;115,769;120,53;123,307;124,778;127,042;128,57;130,826;135,03;139,234;141,49;143,018;145,282;146,753;149,53;154,291
114;116,203;120,983;123,771;125,248;127,521;129,055;131,32;135,541;139,762;142,027;143,561;145,834;147,311;150,099;154,879
115;116,642;121,44;124,239;125,721;128,003;129,543;131,816;136,053;140,29;142,564;144,103;146,386;147,868;150,666;155,465
116;117,086;121,902;124,711;126,198;128,488;130,033;132,315;136,567;140,819;143,101;144,646;146,936;148,423;151,232;156,048
117;117,528;122,362;125,181;126,674;128,973;130,524;132,814;137,082;141,35;143,64;145,191;147,49;148,983;151,803;156,636
118;117,971;122,823;125,653;127,151;129,459;131,016;133,315;137,599;141,883;144,182;145,739;148,046;149,545;152,375;157,226
119;118,419;123,288;126,128;127,632;129,948;131,51;133,817;138,117;142,416;144,723;146,285;148,601;150,105;152,945;157,814
120;118,869;123,755;126,605;128,115;130,439;132,007;134,322;138,636;142,951;145,266;146,834;149,158;150,667;153,517;158,404
121;119,325;124,227;127,087;128,601;130,933;132,506;134,829;139,158;143,486;145,809;147,382;149,714;151,228;154,088;158,99
122;119,777;124,697;127,567;129,086;131,426;133,005;135,336;139,68;144,024;146,356;147,934;150,274;151,794;154,664;159,583
123;120,236;125,172;128,051;129,576;131,923;133,507;135,846;140,205;144,563;146,902;148,486;150,834;152,359;155,238;160,174
124;120,696;125,648;128,537;130,067;132,422;134,012;136,358;140,731;145,104;147,451;149,04;151,396;152,925;155,814;160,767
125;121,157;126,127;129,025;130,56;132,923;134,517;136,872;141,259;145,647;148,001;149,596;151,959;153,494;156,392;161,361
126;121,621;126,606;129,514;131,054;133,425;135,025;137,387;141,789;146,191;148,554;150,153;152,524;154,064;156,972;161,958
127;122,09;127,091;130,008;131,552;133,931;135,535;137,905;142,321;146,736;149,106;150,711;153,089;154,634;157,551;162,552
128;122,56;127,576;130,502;132,052;134,437;136,047;138,424;142,853;147,283;149,66;151,269;153,655;155,205;158,13;163,147
129;123,031;128,063;130,998;132,552;134,946;136,56;138,944;143,387;147,83;150,215;151,829;154,222;155,777;158,712;163,743
130;123,504;128,551;131,495;133,054;135,454;137,074;139,466;143,922;148,379;150,77;152,39;154,791;156,349;159,293;164,341
131;123,976;129,039;131,992;133,556;135,964;137,588;139,987;144,458;148,928;151,327;152,951;155,359;156,923;159,876;164,939
132;124,454;129,531;132,492;134,06;136,475;138,104;140,51;144,993;149,476;151,882;153,511;155,925;157,494;160,455;165,532
133;124,931;130,022;132,992;134,565;136,986;138,62;141,032;145,528;150,024;152,436;154,07;156,491;158,064;161,034;166,125
134;125,408;130,513;133,491;135,068;137,497;139,135;141,554;146,062;150,57;152,99;154,628;157,056;158,633;161,611;166,717
135;125,888;131,007;133,992;135,573;138,008;139,65;142,075;146,595;151,115;153,54;155,183;157,617;159,198;162,184;167,302
136;126,362;131,495;134,489;136,074;138,515;140,162;142,594;147,126;151,658;154,09;155,737;158,178;159,764;162,758;167,89
137;126,839;131,984;134,986;136,575;139,022;140,673;143,111;147,655;152,198;154,636;156,287;158,735;160,324;163,325;168,471
138;127,313;132,472;135,48;137,073;139,527;141,182;143,626;148,18;152,735;155,179;156,834;159,287;160,881;163,889;169,047
139;127,785;132,955;135,971;137,568;140,028;141,687;144,137;148,702;153,268;155,718;157,377;159,836;161,433;164,449;169,62
140;128,257;133,439;136,461;138,062;140,526;142,189;144,644;149,22;153,795;156,25;157,913;160,378;161,978;165,001;170,182
141;128,721;133,915;136,944;138,548;141,018;142,685;145,146;149,732;154,318;156,779;158,446;160,916;162,52;165,55;170,744
142;129,184;134,389;137,425;139,032;141,507;143,177;145,643;150,239;154,835;157,301;158,971;161,446;163,053;166,089;171,294
143;129,642;134,857;137,899;139,51;141,99;143,664;146,135;150,739;155,344;157,815;159,489;161,969;163,58;166,621;171,836
144;130,095;135,32;138,368;139,981;142,467;144,143;146,619;151,233;155,846;158,322;159,999;162,484;164,098;167,146;172,371
145;130,545;135,779;138,832;140,448;142,938;144,617;147,097;151,718;156,34;158,819;160,499;162,988;164,605;167,657;172,891
146;130,984;136,227;139,285;140,905;143,399;145,081;147,565;152,195;156,825;159,309;160,992;163,485;165,105;168,163;173,406
147;131,419;136,671;139,733;141,355;143,853;145,538;148,026;152,663;157,3;159,788;161,473;163,97;165,592;168,655;173,906
148;131,842;137,102;140,17;141,794;144,296;145,984;148,476;153,121;157,765;160,257;161,945;164,447;166,071;169,139;174,399
149;132,26;137,527;140,599;142,226;144,731;146,421;148,917;153,568;158,219;160,714;162,404;164,909;166,536;169,608;174,876
150;132,669;137,943;141,019;142,648;145,156;146,849;149,347;154,004;158,661;161,16;162,852;165,36;166,989;170,065;175,339
151;133,069;138,349;141,428;143,059;145,571;147,265;149,767;154,429;159,091;161,593;163,287;165,799;167,43;170,509;175,789
152;133,463;138,748;141,83;143,463;145,976;147,672;150,176;154,842;159,509;162,013;163,709;166,222;167,854;170,937;176,222
153;133,843;139,133;142,218;143,852;146,368;148,066;150,573;155,244;159,915;162,421;164,119;166,635;168,269;171,355;176,645
154;134,212;139,507;142,596;144,231;146,749;148,449;150,958;155,633;160,308;162,817;164,517;167,035;168,67;171,759;177,054
155;134,576;139,874;142,965;144,601;147,121;148,821;151,332;156,01;160,689;163,199;164,899;167,419;169,056;172,146;177,445
156;134,924;140,227;143,319;144,957;147,479;149,18;151,693;156,375;161,057;163,569;165,271;167,793;169,43;172,523;177,826
157;135,267;140,571;143,666;145,304;147,827;149,529;152,043;156,727;161,411;163,924;165,627;168,15;169,788;172,882;178,187
158;135,599;140,905;144,001;145,64;148,164;149,866;152,381;157,067;161,752;164,267;165,97;168,493;170,133;173,228;178,535
159;135,92;141,228;144,324;145,964;148,488;150,191;152,707;157,394;162,081;164,596;166,299;168,824;170,463;173,559;178,867
160;136,226;141,536;144,633;146,274;148,799;150,503;153,019;157,708;162,397;164,913;166,617;169,143;170,783;173,88;179,191
161;136,526;141,836;144,934;146,574;149,1;150,804;153,321;158,01;162,7;165,216;166,92;169,446;171,086;174,184;179,495
162;136,815;142,126;145,223;146,864;149,39;151,094;153,61;158,3;162,989;165,506;167,21;169,736;171,376;174,474;179,785
163;137,094;142,404;145,502;147,142;149,668;151,372;153,888;158,577;163,266;165,782;167,486;170,012;171,652;174,75;180,06
164;137,362;142,672;145,769;147,409;149,935;151,638;154,154;158,842;163,531;166,047;167,75;170,276;171,916;175,013;180,323
165;137,616;142,926;146,023;147,663;150,188;151,892;154,408;159,096;163,784;166,3;168,004;170,529;172,169;175,266;180,576
166;137,865;143,173;146,269;147,909;150,433;152,136;154,651;159,338;164,025;166,54;168,243;170,768;172,407;175,503;180,811
167;138,104;143,41;146,505;148,144;150,667;152,37;154,884;159,569;164,254;166,768;168,471;170,994;172,633;175,728;181,034
168;138,334;143,638;146,731;148,369;150,891;152,593;155,106;159,789;164,472;166,985;168,687;171,209;172,847;175,94;181,244
169;138,555;143,855;146,947;148,584;151,105;152,806;155,318;159,998;164,679;167,19;168,891;171,412;173,049;176,141;181,442
170;138,762;144,06;147,151;148,788;151,308;153,008;155,518;160,197;164,876;167,386;169,087;171,607;173,243;176,334;181,633
171;138,965;144,26;147,348;148,984;151,502;153,201;155,71;160,386;165,061;167,57;169,269;171,788;173,423;176,512;181,807
172;139,159;144,45;147,537;149,171;151,687;153,385;155,892;160,564;165,236;167,743;169,441;171,958;173,592;176,678;181,97
173;139,34;144,628;147,713;149,346;151,861;153,558;156,064;160,733;165,403;167,908;169,605;172,12;173,754;176,838;182,126
174;139,518;144,802;147,884;149,516;152,028;153,724;156,227;160,893;165,558;168,061;169,757;172,27;173,902;176,984;182,267
175;139,683;144,963;148,043;149,674;152,185;153,879;156,381;161,043;165,705;168,207;169,901;172,412;174,043;177,123;182,403
176;139,846;145,121;148,197;149,827;152,335;154,028;156,527;161,184;165,842;168,341;170,034;172,542;174,172;177,248;182,523
177;139,996;145,267;148,341;149,969;152,475;154,167;156,664;161,318;165,971;168,469;170,16;172,666;174,294;177,368;182,639
178;140,14;145,406;148,477;150,104;152,608;154,298;156,793;161,442;166,092;168,587;170,277;172,781;174,408;177,479;182,745
179;140,276;145,537;148,606;150,231;152,733;154,421;156,914;161,56;166,205;168,698;170,386;172,888;174,513;177,582;182,843
180;140,411;145,666;148,731;150,354;152,853;154,54;157,029;161,669;166,309;168,799;170,485;172,984;174,607;177,672;182,927
181;140,535;145,785;148,847;150,468;152,965;154,649;157,137;161,772;166,407;168,894;170,579;173,075;174,697;177,759;183,008
182;140,653;145,897;148,956;150,576;153,07;154,752;157,237;161,867;166,498;168,982;170,665;173,159;174,779;177,837;183,081
183;140,761;146;149,056;150,675;153,166;154,848;157,33;161,956;166,583;169,065;170,746;173,238;174,856;177,912;183,152
184;140,868;146,101;149,154;150,77;153,259;154,939;157,418;162,039;166,66;169,14;170,819;173,308;174,925;177,977;183,211
185;140,97;146,197;149,246;150,861;153,347;155,024;157,501;162,116;166,732;169,209;170,886;173,372;174,987;178,035;183,263
186;141,067;146,288;149,334;150,946;153,429;155,104;157,578;162,188;166,798;169,272;170,947;173,43;175,042;178,088;183,309
187;141,155;146,371;149,413;151,024;153,504;155,178;157,649;162,254;166,859;169,331;171,004;173,485;175,096;178,138;183,353
188;141,244;146,452;149,491;151,099;153,577;155,248;157,716;162,315;166,915;169,383;171,054;173,531;175,14;178,178;183,387
189;141,323;146,526;149,561;151,168;153,643;155,312;157,778;162,372;166,966;169,432;171,101;173,576;175,183;178,218;183,421
190;141,398;146,596;149,627;151,232;153,704;155,372;157,835;162,424;167,013;169,476;171,143;173,615;175,221;178,252;183,45
191;141,475;146,665;149,693;151,296;153,764;155,43;157,889;162,472;167,055;169,514;171,179;173,648;175,251;178,278;183,468
192;141,543;146,727;149,751;151,353;153,818;155,482;157,938;162,516;167,093;169,55;171,213;173,679;175,28;178,304;183,488
193;141,609;146,787;149,807;151,406;153,869;155,53;157,984;162,556;167,128;169,582;171,243;173,706;175,305;178,325;183,503
194;141,671;146,843;149,86;151,457;153,917;155,576;158,027;162,593;167,16;169,61;171,27;173,73;175,327;178,344;183,515
195;141,731;146,897;149,91;151,505;153,962;155,619;158,067;162,628;167,189;169,636;171,294;173,75;175,346;178,358;183,524
196;141,789;146,948;149,957;151,551;154,004;155,66;158,104;162,659;167,215;169,659;171,315;173,768;175,362;178,371;183,53
197;141,84;146,994;150;151,592;154,043;155,696;158,138;162,689;167,24;169,682;171,335;173,786;175,378;178,384;183,538
198;141,894;147,041;150,044;151,633;154,081;155,733;158,172;162,716;167,261;169,7;171,352;173,8;175,389;178,392;183,539
199;141,942;147,084;150,083;151,671;154,116;155,766;158,202;162,742;167,283;169,719;171,369;173,814;175,402;178,401;183,543
200;141,994;147,129;150,124;151,71;154,152;155,8;158,233;162,767;167,301;169,734;171,382;173,824;175,41;178,405;183,54
201;142,039;147,169;150,161;151,745;154,185;155,831;158,261;162,79;167,32;169,75;171,396;173,836;175,42;178,412;183,542
202;142,089;147,212;150,2;151,782;154,218;155,862;158,289;162,813;167,336;169,763;171,407;173,843;175,426;178,414;183,536
203;142,133;147,25;150,235;151,815;154,249;155,891;158,316;162,834;167,352;169,777;171,419;173,853;175,433;178,418;183,535
204;142,176;147,287;150,269;151,848;154,279;155,919;158,341;162,854;167,368;169,79;171,43;173,861;175,44;178,422;183,533
205;142,218;147,324;150,302;151,88;154,308;155,946;158,366;162,874;167,383;169,802;171,441;173,869;175,446;178,424;183,531
206;142,26;147,36;150,335;151,911;154,337;155,973;158,39;162,894;167,397;169,814;171,45;173,876;175,452;178,427;183,527
207;142,301;147,396;150,368;151,941;154,365;155,999;158,413;162,912;167,411;169,825;171,459;173,883;175,456;178,428;183,523
208;142,342;147,431;150,4;151,972;154,392;156,025;158,436;162,93;167,424;169,835;171,468;173,888;175,46;178,429;183,518
209;142,383;147,466;150,431;152,001;154,419;156,05;158,459;162,948;167,436;169,845;171,476;173,894;175,464;178,429;183,512
210;142,418;147,497;150,46;152,028;154,444;156,074;158,48;162,965;167,45;169,856;171,486;173,901;175,47;178,433;183,512
211;142,458;147,531;150,49;152,057;154,47;156,098;158,502;162,982;167,461;169,865;171,493;173,906;175,473;178,432;183,505
212;142,493;147,561;150,518;152,084;154,494;156,121;158,523;162,998;167,474;169,876;171,502;173,913;175,479;178,435;183,504
213;142,532;147,595;150,548;152,112;154,52;156,145;158,544;163,014;167,485;169,884;171,509;173,917;175,481;178,434;183,497
214;142,566;147,624;150,575;152,137;154,543;156,166;158,563;163,03;167,497;169,894;171,517;173,923;175,485;178,436;183,494
215;142,599;147,653;150,601;152,162;154,566;156,188;158,582;163,045;167,508;169,903;171,524;173,928;175,489;178,437;183,491
216;142,637;147,685;150,63;152,189;154,59;156,21;158,602;163,06;167,517;169,909;171,529;173,93;175,489;178,434;183,482
217;142,669;147,713;150,655;152,213;154,611;156,23;158,62;163,073;167,527;169,917;171,535;173,934;175,492;178,434;183,478
218;142,7;147,74;150,679;152,235;154,632;156,249;158,637;163,086;167,536;169,923;171,54;173,937;175,493;178,433;183,472
219;142,731;147,766;150,702;152,257;154,652;156,267;158,653;163,098;167,544;169,929;171,545;173,939;175,494;178,431;183,465
220;142,761;147,791;150,725;152,278;154,671;156,285;158,668;163,109;167,551;169,934;171,548;173,94;175,494;178,428;183,458
221;142,785;147,811;150,743;152,296;154,686;156,299;158,681;163,119;167,557;169,939;171,552;173,943;175,495;178,427;183,454
222;142,813;147,834;150,763;152,315;154,703;156,314;158,694;163,128;167,562;169,941;171,553;173,941;175,492;178,421;183,443
223;142,839;147,856;150,783;152,332;154,718;156,328;158,706;163,136;167,565;169,943;171,553;173,939;175,488;178,415;183,432
224;142,86;147,874;150,798;152,346;154,731;156,339;158,715;163,142;167,569;169,944;171,553;173,937;175,486;178,41;183,424
225;142,885;147,893;150,815;152,362;154,744;156,351;158,724;163,147;167,569;169,943;171,55;173,932;175,479;178,4;183,409
226;142,903;147,908;150,828;152,373;154,754;156,36;158,731;163,151;167,57;169,942;171,548;173,928;175,474;178,393;183,398
